Parameters of the vcal vs. pulse height fits
par[3] + par[2] * TMath::TanH(par[0]*x[0] - par[1])
2.000000e-03 5.702104e-01 1.638052e+02 1.005601e+02     Pix  0 78
1.891320e-03 5.879583e-01 1.581534e+02 1.021315e+02     Pix  0 79
2.000000e-03 4.273099e-01 1.709194e+02 9.946095e+01     Pix  1  0
2.000000e-03 4.685323e-01 1.669919e+02 1.011493e+02     Pix  1  1
2.000000e-03 4.645730e-01 1.686228e+02 1.001435e+02     Pix  1  2
2.000000e-03 4.538899e-01 1.672904e+02 1.029999e+02     Pix  1  3
2.000000e-03 4.409733e-01 1.692101e+02 1.008559e+02     Pix  1  4
2.000000e-03 4.648059e-01 1.704283e+02 9.993182e+01     Pix  1  5
2.000000e-03 5.046789e-01 1.676634e+02 1.007566e+02     Pix  1  6
2.000000e-03 4.978118e-01 1.673713e+02 9.999481e+01     Pix  1  7
2.000000e-03 5.198612e-01 1.628034e+02 1.048726e+02     Pix  1  8
2.000000e-03 5.405467e-01 1.647524e+02 1.035100e+02     Pix  1  9
2.000000e-03 4.277450e-01 1.738367e+02 9.630865e+01     Pix  1 10
2.000000e-03 4.837401e-01 1.698449e+02 9.783026e+01     Pix  1 11
2.000000e-03 5.030171e-01 1.696184e+02 9.832476e+01     Pix  1 12
2.000000e-03 5.180496e-01 1.677259e+02 1.007622e+02     Pix  1 13
2.000000e-03 5.169487e-01 1.696500e+02 9.668136e+01     Pix  1 14
2.000000e-03 4.521727e-01 1.690177e+02 1.017640e+02     Pix  1 15
2.000000e-03 4.800122e-01 1.671385e+02 1.019438e+02     Pix  1 16
2.000000e-03 4.684803e-01 1.668672e+02 1.016258e+02     Pix  1 17
2.000000e-03 4.723981e-01 1.699379e+02 9.735637e+01     Pix  1 18
2.000000e-03 4.772195e-01 1.691282e+02 1.003730e+02     Pix  1 19
2.000000e-03 4.752786e-01 1.702652e+02 1.004720e+02     Pix  1 20
2.000000e-03 4.806175e-01 1.689242e+02 9.990269e+01     Pix  1 21
2.000000e-03 4.995241e-01 1.675399e+02 9.932822e+01     Pix  1 22
2.000000e-03 5.360298e-01 1.638353e+02 1.036216e+02     Pix  1 23
2.000000e-03 5.580495e-01 1.654596e+02 1.013487e+02     Pix  1 24
2.000000e-03 5.251165e-01 1.689677e+02 9.836020e+01     Pix  1 25
2.000000e-03 5.017706e-01 1.712747e+02 9.605226e+01     Pix  1 26
2.000000e-03 4.211150e-01 1.748137e+02 9.831712e+01     Pix  1 27
2.000000e-03 4.900562e-01 1.706808e+02 9.941461e+01     Pix  1 28
2.000000e-03 5.100877e-01 1.669891e+02 1.013787e+02     Pix  1 29
2.000000e-03 5.107771e-01 1.692953e+02 9.910570e+01     Pix  1 30
2.000000e-03 5.147619e-01 1.690650e+02 9.887913e+01     Pix  1 31
2.000000e-03 4.481605e-01 1.764123e+02 9.364944e+01     Pix  1 32
