Parameters of the vcal vs. pulse height fits
par[3] + par[2] * TMath::TanH(par[0]*x[0] - par[1])

2.000000e-03 4.427370e-01 1.622769e+02 1.061228e+02     Pix  0  0
2.000000e-03 4.846517e-01 1.616392e+02 1.038437e+02     Pix  0  1
2.000000e-03 4.926657e-01 1.586922e+02 1.072422e+02     Pix  0  2
2.000000e-03 4.829041e-01 1.605641e+02 1.063225e+02     Pix  0  3
2.000000e-03 4.292967e-01 1.642078e+02 1.048803e+02     Pix  0  4
2.000000e-03 4.846792e-01 1.603879e+02 1.081954e+02     Pix  0  5
2.000000e-03 5.387751e-01 1.573993e+02 1.075545e+02     Pix  0  6
2.000000e-03 5.324790e-01 1.597982e+02 1.046390e+02     Pix  0  7
2.000000e-03 5.246617e-01 1.592021e+02 1.055744e+02     Pix  0  8
2.000000e-03 4.687987e-01 1.642146e+02 1.033162e+02     Pix  0  9
2.000000e-03 5.021616e-01 1.637694e+02 1.048856e+02     Pix  0 10
2.000000e-03 5.252373e-01 1.591122e+02 1.065265e+02     Pix  0 11
2.000000e-03 5.070986e-01 1.652692e+02 1.003778e+02     Pix  0 12
2.000000e-03 5.238272e-01 1.632084e+02 1.038800e+02     Pix  0 13
2.000000e-03 5.078635e-01 1.641518e+02 1.004229e+02     Pix  0 14
2.000000e-03 4.742338e-01 1.635301e+02 1.059553e+02     Pix  0 15
2.000000e-03 5.114139e-01 1.629385e+02 1.061631e+02     Pix  0 16
2.000000e-03 5.088021e-01 1.597626e+02 1.074673e+02     Pix  0 17
2.000000e-03 5.105477e-01 1.615888e+02 1.053130e+02     Pix  0 18
2.000000e-03 5.005193e-01 1.664032e+02 1.009931e+02     Pix  0 19
2.000000e-03 5.214411e-01 1.631576e+02 1.042643e+02     Pix  0 20
2.000000e-03 5.013866e-01 1.626558e+02 1.045588e+02     Pix  0 21
2.000000e-03 4.760348e-01 1.656540e+02 1.031200e+02     Pix  0 22
2.000000e-03 5.233037e-01 1.623689e+02 1.046962e+02     Pix  0 23
2.000000e-03 5.030442e-01 1.672696e+02 9.993463e+01     Pix  0 24
2.000000e-03 5.552038e-01 1.631526e+02 1.013241e+02     Pix  0 25
1.999918e-03 5.184580e-01 1.636882e+02 1.017493e+02     Pix  0 26
2.000000e-03 5.186284e-01 1.628419e+02 1.042324e+02     Pix  0 27
2.000000e-03 4.968977e-01 1.646521e+02 1.042658e+02     Pix  0 28
2.000000e-03 5.329312e-01 1.611559e+02 1.069544e+02     Pix  0 29
2.000000e-03 5.378941e-01 1.642750e+02 1.022794e+02     Pix  0 30
2.000000e-03 5.462604e-01 1.642212e+02 1.031692e+02     Pix  0 31
2.000000e-03 5.312747e-01 1.626634e+02 1.027821e+02     Pix  0 32
2.000000e-03 4.788916e-01 1.633476e+02 1.056996e+02     Pix  0 33
2.000000e-03 4.428891e-01 1.663644e+02 1.042527e+02     Pix  0 34
2.000000e-03 4.462946e-01 1.666574e+02 1.029281e+02     Pix  0 35
2.000000e-03 5.295464e-01 1.611420e+02 1.032155e+02     Pix  0 36
2.000000e-03 5.219214e-01 1.617578e+02 1.031446e+02     Pix  0 37
2.000000e-03 5.346515e-01 1.605869e+02 1.070435e+02     Pix  0 38
2.000000e-03 5.142441e-01 1.622855e+02 1.044184e+02     Pix  0 39
2.000000e-03 4.824293e-01 1.654747e+02 1.034156e+02     Pix  0 40
2.000000e-03 5.281074e-01 1.624851e+02 1.067493e+02     Pix  0 41
2.000000e-03 5.587651e-01 1.599385e+02 1.045271e+02     Pix  0 42
2.000000e-03 5.302863e-01 1.655012e+02 1.017137e+02     Pix  0 43
2.000000e-03 5.444273e-01 1.624803e+02 1.035185e+02     Pix  0 44
