Parameters of the vcal vs. pulse height fits
par[3] + par[2] * TMath::TanH(par[0]*x[0] - par[1])

2.000000e-03 4.809670e-01 1.673152e+02 9.776908e+01     Pix  0  0
2.000000e-03 5.051248e-01 1.676119e+02 9.800572e+01     Pix  0  1
2.000000e-03 4.737647e-01 1.689319e+02 9.748322e+01     Pix  0  2
2.000000e-03 4.634355e-01 1.692323e+02 9.658243e+01     Pix  0  3
2.000000e-03 4.730163e-01 1.687923e+02 9.704795e+01     Pix  0  4
2.000000e-03 4.667735e-01 1.708759e+02 9.575986e+01     Pix  0  5
2.000000e-03 4.770945e-01 1.711633e+02 9.438012e+01     Pix  0  6
2.000000e-03 5.132138e-01 1.672807e+02 9.461631e+01     Pix  0  7
2.000000e-03 4.979547e-01 1.704214e+02 9.499258e+01     Pix  0  8
2.000000e-03 4.955717e-01 1.689748e+02 9.703205e+01     Pix  0  9
2.000000e-03 5.252430e-01 1.675821e+02 9.689049e+01     Pix  0 10
2.000000e-03 4.682168e-01 1.714849e+02 9.332036e+01     Pix  0 11
2.000000e-03 5.219700e-01 1.712034e+02 9.267744e+01     Pix  0 12
2.000000e-03 5.619272e-01 1.665181e+02 9.648734e+01     Pix  0 13
2.000000e-03 5.224983e-01 1.706896e+02 9.102964e+01     Pix  0 14
2.000000e-03 5.021214e-01 1.674011e+02 9.764871e+01     Pix  0 15
2.000000e-03 4.818175e-01 1.687947e+02 9.812113e+01     Pix  0 16
2.000000e-03 4.633704e-01 1.701610e+02 9.774226e+01     Pix  0 17
2.000000e-03 4.941641e-01 1.708605e+02 9.479706e+01     Pix  0 18
2.000000e-03 5.065696e-01 1.689393e+02 9.499745e+01     Pix  0 19
2.000000e-03 4.991100e-01 1.707998e+02 9.450958e+01     Pix  0 20
2.000000e-03 4.851277e-01 1.701085e+02 9.631475e+01     Pix  0 21
2.000000e-03 5.152002e-01 1.683316e+02 9.602570e+01     Pix  0 22
2.000000e-03 5.016910e-01 1.717361e+02 9.422915e+01     Pix  0 23
2.000000e-03 5.281802e-01 1.703094e+02 9.460424e+01     Pix  0 24
2.000000e-03 5.947618e-01 1.672481e+02 9.627527e+01     Pix  0 25
2.000000e-03 5.336838e-01 1.716052e+02 9.017056e+01     Pix  0 26
2.000000e-03 4.973675e-01 1.701680e+02 9.353701e+01     Pix  0 27
2.000000e-03 4.928991e-01 1.703052e+02 9.364547e+01     Pix  0 28
2.000000e-03 5.252702e-01 1.690308e+02 9.582405e+01     Pix  0 29
2.000000e-03 5.246743e-01 1.710694e+02 9.257189e+01     Pix  0 30
2.000000e-03 5.044249e-01 1.730689e+02 9.216845e+01     Pix  0 31
2.000000e-03 5.228103e-01 1.711352e+02 9.219785e+01     Pix  0 32
2.000000e-03 4.540618e-01 1.724723e+02 9.346149e+01     Pix  0 33
2.000000e-03 4.741732e-01 1.704024e+02 9.584789e+01     Pix  0 34
2.000000e-03 4.603953e-01 1.716022e+02 9.417579e+01     Pix  0 35
2.000000e-03 5.079389e-01 1.713904e+02 9.405588e+01     Pix  0 36
2.000000e-03 4.861756e-01 1.728859e+02 9.329755e+01     Pix  0 37
2.000000e-03 5.532720e-01 1.672906e+02 9.868376e+01     Pix  0 38
2.000000e-03 4.891078e-01 1.694623e+02 9.647413e+01     Pix  0 39
2.000000e-03 4.660308e-01 1.737932e+02 9.097060e+01     Pix  0 40
2.000000e-03 5.041032e-01 1.710859e+02 9.277983e+01     Pix  0 41
2.000000e-03 4.884751e-01 1.736067e+02 9.116422e+01     Pix  0 42
2.000000e-03 5.296506e-01 1.700579e+02 9.473344e+01     Pix  0 43
2.000000e-03 5.420475e-01 1.714760e+02 9.114475e+01     Pix  0 44
2.000000e-03 5.220507e-01 1.680792e+02 9.413193e+01     Pix  0 45
2.000000e-03 5.233589e-01 1.688972e+02 9.353761e+01     Pix  0 46
2.000000e-03 5.068556e-01 1.714167e+02 9.312010e+01     Pix  0 47
2.000000e-03 5.063781e-01 1.738050e+02 9.166981e+01     Pix  0 48
2.000000e-03 5.309419e-01 1.707435e+02 9.237504e+01     Pix  0 49
1.999929e-03 5.314046e-01 1.709847e+02 8.956017e+01     Pix  0 50
2.000000e-03 5.106870e-01 1.675771e+02 9.708735e+01     Pix  0 51
2.000000e-03 4.905840e-01 1.686536e+02 9.861226e+01     Pix  0 52
2.000000e-03 4.676637e-01 1.718625e+02 9.354664e+01     Pix  0 53
2.000000e-03 5.320282e-01 1.664605e+02 9.512940e+01     Pix  0 54
2.000000e-03 5.076838e-01 1.726462e+02 9.151787e+01     Pix  0 55
2.000000e-03 5.019604e-01 1.719248e+02 9.336872e+01     Pix  0 56
2.000000e-03 5.232128e-01 1.702632e+02 9.402626e+01     Pix  0 57
2.000000e-03 5.417999e-01 1.675305e+02 9.528785e+01     Pix  0 58
2.000000e-03 5.185860e-01 1.716648e+02 8.998421e+01     Pix  0 59
1.999999e-03 5.437567e-01 1.697581e+02 9.174199e+01     Pix  0 60
1.999939e-03 5.278055e-01 1.725171e+02 8.949044e+01     Pix  0 61
2.000000e-03 5.414355e-01 1.696421e+02 9.502032e+01     Pix  0 62
2.000000e-03 5.675496e-01 1.664261e+02 9.546701e+01     Pix  0 63
2.000000e-03 5.337508e-01 1.666808e+02 9.409583e+01     Pix  0 64
2.000000e-03 5.411371e-01 1.667883e+02 9.595129e+01     Pix  0 65
1.999993e-03 5.474675e-01 1.701232e+02 9.053840e+01     Pix  0 66
