Parameters of the vcal vs. pulse height fits
par[3] + par[2] * TMath::TanH(par[0]*x[0] - par[1])

2.000000e-03 5.105568e-01 1.596299e+02 1.069382e+02     Pix  0  0
2.000000e-03 6.018717e-01 1.535060e+02 1.116455e+02     Pix  0  1
2.000000e-03 5.572920e-01 1.592738e+02 1.059726e+02     Pix  0  2
2.000000e-03 5.641135e-01 1.555223e+02 1.100081e+02     Pix  0  3
2.000000e-03 5.321331e-01 1.591781e+02 1.072003e+02     Pix  0  4
2.000000e-03 5.811608e-01 1.556945e+02 1.073997e+02     Pix  0  5
2.000000e-03 5.948490e-01 1.571508e+02 1.077133e+02     Pix  0  6
2.000000e-03 5.637442e-01 1.601953e+02 1.049458e+02     Pix  0  7
2.000000e-03 5.724425e-01 1.583760e+02 1.080544e+02     Pix  0  8
2.000000e-03 5.176002e-01 1.603748e+02 1.058968e+02     Pix  0  9
2.000000e-03 5.634152e-01 1.564090e+02 1.074904e+02     Pix  0 10
2.000000e-03 5.671486e-01 1.585806e+02 1.058045e+02     Pix  0 11
2.000000e-03 6.155883e-01 1.581374e+02 1.048552e+02     Pix  0 12
2.000000e-03 5.553664e-01 1.625504e+02 1.020856e+02     Pix  0 13
2.000000e-03 5.631851e-01 1.615689e+02 1.006257e+02     Pix  0 14
2.000000e-03 5.807831e-01 1.563849e+02 1.101398e+02     Pix  0 15
2.000000e-03 5.613691e-01 1.583475e+02 1.077492e+02     Pix  0 16
2.000000e-03 5.573772e-01 1.568391e+02 1.087511e+02     Pix  0 17
2.000000e-03 5.393962e-01 1.615734e+02 1.052028e+02     Pix  0 18
2.000000e-03 5.628530e-01 1.590324e+02 1.056251e+02     Pix  0 19
2.000000e-03 5.738847e-01 1.586115e+02 1.066544e+02     Pix  0 20
2.000000e-03 5.622294e-01 1.581571e+02 1.062095e+02     Pix  0 21
2.000000e-03 5.733438e-01 1.587638e+02 1.047190e+02     Pix  0 22
2.000000e-03 5.744516e-01 1.589239e+02 1.056310e+02     Pix  0 23
2.000000e-03 6.108532e-01 1.573865e+02 1.051717e+02     Pix  0 24
2.000000e-03 6.076708e-01 1.588546e+02 1.044073e+02     Pix  0 25
2.000000e-03 5.933700e-01 1.598015e+02 1.031193e+02     Pix  0 26
1.999964e-03 5.800020e-01 1.570856e+02 1.053720e+02     Pix  0 27
2.000000e-03 5.589149e-01 1.602495e+02 1.053134e+02     Pix  0 28
2.000000e-03 5.837026e-01 1.576829e+02 1.074733e+02     Pix  0 29
2.000000e-03 5.102241e-01 1.653445e+02 1.020274e+02     Pix  0 30
2.000000e-03 5.670956e-01 1.618477e+02 1.021932e+02     Pix  0 31
2.000000e-03 5.837806e-01 1.609048e+02 1.023177e+02     Pix  0 32
2.000000e-03 5.060244e-01 1.622124e+02 1.059020e+02     Pix  0 33
2.000000e-03 5.274707e-01 1.609486e+02 1.061959e+02     Pix  0 34
2.000000e-03 5.886707e-01 1.557208e+02 1.084051e+02     Pix  0 35
2.000000e-03 5.660632e-01 1.602749e+02 1.063963e+02     Pix  0 36
2.000000e-03 5.559210e-01 1.607055e+02 1.050809e+02     Pix  0 37
2.000000e-03 5.633272e-01 1.606572e+02 1.044348e+02     Pix  0 38
2.000000e-03 5.898931e-01 1.584106e+02 1.047553e+02     Pix  0 39
2.000000e-03 5.264568e-01 1.629762e+02 1.041522e+02     Pix  0 40
2.000000e-03 6.114798e-01 1.575407e+02 1.060484e+02     Pix  0 41
1.999952e-03 6.207807e-01 1.604534e+02 1.045262e+02     Pix  0 42
2.000000e-03 5.714317e-01 1.616640e+02 1.011861e+02     Pix  0 43
2.000000e-03 6.104870e-01 1.592902e+02 1.044621e+02     Pix  0 44
