Parameters of the vcal vs. pulse height fits
par[3] + par[2] * TMath::TanH(par[0]*x[0] - par[1])

2.000000e-03 6.165592e-01 1.606037e+02 1.042261e+02     Pix  0  0
2.000000e-03 5.766571e-01 1.628145e+02 1.010539e+02     Pix  0  1
2.000000e-03 6.168561e-01 1.605777e+02 1.019382e+02     Pix  0  2
2.000000e-03 5.388511e-01 1.651155e+02 9.983866e+01     Pix  0  3
2.000000e-03 4.931032e-01 1.682451e+02 9.855632e+01     Pix  0  4
2.000000e-03 5.849903e-01 1.633493e+02 1.012060e+02     Pix  0  5
2.000000e-03 6.101334e-01 1.634238e+02 1.012438e+02     Pix  0  6
2.000000e-03 6.022298e-01 1.630034e+02 1.010248e+02     Pix  0  7
2.000000e-03 5.661938e-01 1.695236e+02 9.372500e+01     Pix  0  8
2.000000e-03 5.603134e-01 1.660349e+02 9.817034e+01     Pix  0  9
1.997510e-03 5.991919e-01 1.630164e+02 9.725464e+01     Pix  0 10
2.000000e-03 5.961125e-01 1.632751e+02 1.006129e+02     Pix  0 11
2.000000e-03 6.305138e-01 1.632956e+02 9.617377e+01     Pix  0 12
1.999901e-03 6.448370e-01 1.638340e+02 9.902146e+01     Pix  0 13
2.000000e-03 6.149497e-01 1.679936e+02 9.436403e+01     Pix  0 14
2.000000e-03 5.169558e-01 1.663484e+02 9.916069e+01     Pix  0 15
2.000000e-03 5.825266e-01 1.625630e+02 1.015366e+02     Pix  0 16
2.000000e-03 6.279130e-01 1.615107e+02 1.009496e+02     Pix  0 17
2.000000e-03 5.725252e-01 1.669567e+02 9.725791e+01     Pix  0 18
2.000000e-03 6.140696e-01 1.649004e+02 9.854138e+01     Pix  0 19
2.000000e-03 5.737821e-01 1.678823e+02 9.586573e+01     Pix  0 20
2.000000e-03 5.895681e-01 1.659328e+02 9.811118e+01     Pix  0 21
2.000000e-03 5.767798e-01 1.664891e+02 9.685671e+01     Pix  0 22
1.999864e-03 5.882893e-01 1.661072e+02 9.595998e+01     Pix  0 23
1.999501e-03 6.061148e-01 1.676454e+02 9.232162e+01     Pix  0 24
1.999904e-03 6.788337e-01 1.636751e+02 9.735705e+01     Pix  0 25
2.000000e-03 6.350776e-01 1.658496e+02 9.946903e+01     Pix  0 26
2.000000e-03 5.608074e-01 1.675263e+02 9.692180e+01     Pix  0 27
2.000000e-03 5.855996e-01 1.668721e+02 9.703173e+01     Pix  0 28
2.000000e-03 5.982464e-01 1.644947e+02 9.944353e+01     Pix  0 29
1.999829e-03 6.035945e-01 1.665411e+02 9.150379e+01     Pix  0 30
2.000000e-03 5.585310e-01 1.700644e+02 9.383482e+01     Pix  0 31
2.000000e-03 6.221999e-01 1.669096e+02 9.479277e+01     Pix  0 32
1.999611e-03 5.882116e-01 1.641142e+02 9.627363e+01     Pix  0 33
2.000000e-03 5.711478e-01 1.644337e+02 9.994042e+01     Pix  0 34
2.000000e-03 6.222698e-01 1.628165e+02 9.988217e+01     Pix  0 35
2.000000e-03 5.905094e-01 1.668167e+02 9.767568e+01     Pix  0 36
2.000000e-03 6.258940e-01 1.650507e+02 9.542909e+01     Pix  0 37
2.000000e-03 5.648262e-01 1.684387e+02 9.679383e+01     Pix  0 38
2.000000e-03 5.687677e-01 1.672513e+02 9.691806e+01     Pix  0 39
2.000000e-03 6.097442e-01 1.652987e+02 9.853541e+01     Pix  0 40
2.000000e-03 6.278862e-01 1.654266e+02 9.893218e+01     Pix  0 41
2.000000e-03 6.175541e-01 1.675139e+02 9.363951e+01     Pix  0 42
2.000000e-03 6.300701e-01 1.662472e+02 9.744649e+01     Pix  0 43
2.000000e-03 6.713162e-01 1.652360e+02 9.621313e+01     Pix  0 44
1.999611e-03 6.024583e-01 1.649231e+02 9.848520e+01     Pix  0 45
2.000000e-03 5.839565e-01 1.664911e+02 1.000626e+02     Pix  0 46
2.000000e-03 6.273370e-01 1.629470e+02 9.856716e+01     Pix  0 47
2.000000e-03 6.145843e-01 1.678878e+02 9.814578e+01     Pix  0 48
2.000000e-03 6.368832e-01 1.657605e+02 9.516875e+01     Pix  0 49
1.999982e-03 6.282089e-01 1.670059e+02 9.477568e+01     Pix  0 50
2.000000e-03 5.795458e-01 1.637252e+02 1.007847e+02     Pix  0 51
2.000000e-03 5.973778e-01 1.618360e+02 1.023083e+02     Pix  0 52
2.000000e-03 6.165740e-01 1.623639e+02 1.007298e+02     Pix  0 53
2.000000e-03 5.998424e-01 1.673242e+02 9.693685e+01     Pix  0 54
2.000000e-03 6.264212e-01 1.651892e+02 9.845429e+01     Pix  0 55
2.000000e-03 6.011944e-01 1.669366e+02 9.712997e+01     Pix  0 56
2.000000e-03 6.305065e-01 1.624171e+02 9.896796e+01     Pix  0 57
1.999985e-03 6.303129e-01 1.644707e+02 9.948277e+01     Pix  0 58
2.000000e-03 6.143326e-01 1.630152e+02 9.823273e+01     Pix  0 59
2.000000e-03 5.984240e-01 1.685050e+02 9.353114e+01     Pix  0 60
2.000000e-03 6.709362e-01 1.644538e+02 9.775291e+01     Pix  0 61
1.993808e-03 6.312258e-01 1.668263e+02 9.313416e+01     Pix  0 62
2.000000e-03 6.179752e-01 1.632092e+02 1.004903e+02     Pix  0 63
2.000000e-03 6.595681e-01 1.623515e+02 9.934625e+01     Pix  0 64
2.000000e-03 6.339873e-01 1.639900e+02 9.968589e+01     Pix  0 65
1.999453e-03 6.168189e-01 1.663275e+02 9.301684e+01     Pix  0 66
2.000000e-03 7.423638e-01 1.599619e+02 1.012420e+02     Pix  0 67
2.000000e-03 6.150120e-01 1.663718e+02 9.661623e+01     Pix  0 68
2.000000e-03 6.161958e-01 1.618431e+02 1.020858e+02     Pix  0 69
2.000000e-03 6.150086e-01 1.619601e+02 9.957740e+01     Pix  0 70
2.000000e-03 6.187693e-01 1.629589e+02 1.031421e+02     Pix  0 71
2.000000e-03 6.366823e-01 1.640189e+02 9.826450e+01     Pix  0 72
1.934925e-03 6.048511e-01 1.676480e+02 9.252798e+01     Pix  0 73
1.999997e-03 6.630967e-01 1.621723e+02 9.771570e+01     Pix  0 74
2.000000e-03 6.624249e-01 1.611120e+02 9.991398e+01     Pix  0 75
2.000000e-03 6.385063e-01 1.625387e+02 1.024579e+02     Pix  0 76
2.000000e-03 6.472069e-01 1.628538e+02 9.706976e+01     Pix  0 77
1.999910e-03 6.639000e-01 1.632394e+02 9.642500e+01     Pix  0 78
1.769500e-03 6.770711e-01 1.622723e+02 9.273997e+01     Pix  0 79
2.000000e-03 5.627451e-01 1.686023e+02 9.852471e+01     Pix  1  0
2.000000e-03 5.666237e-01 1.686007e+02 9.904197e+01     Pix  1  1
2.000000e-03 5.781870e-01 1.685519e+02 9.844374e+01     Pix  1  2
2.000000e-03 5.526716e-01 1.712804e+02 9.788717e+01     Pix  1  3
2.000000e-03 5.033667e-01 1.727065e+02 9.400620e+01     Pix  1  4
2.000000e-03 5.151677e-01 1.725316e+02 9.641095e+01     Pix  1  5
2.000000e-03 5.012959e-01 1.753668e+02 9.438250e+01     Pix  1  6
2.000000e-03 5.607216e-01 1.725652e+02 9.764130e+01     Pix  1  7
2.000000e-03 5.431411e-01 1.745798e+02 9.243705e+01     Pix  1  8
2.000000e-03 5.022470e-01 1.765648e+02 9.107330e+01     Pix  1  9
2.000000e-03 5.483361e-01 1.728842e+02 9.431026e+01     Pix  1 10
2.000000e-03 5.708080e-01 1.722654e+02 9.605528e+01     Pix  1 11
2.000000e-03 5.685772e-01 1.749552e+02 9.213124e+01     Pix  1 12
2.000000e-03 5.785807e-01 1.736123e+02 9.116108e+01     Pix  1 13
2.000000e-03 5.730310e-01 1.724596e+02 9.176571e+01     Pix  1 14
2.000000e-03 5.198856e-01 1.706411e+02 9.644614e+01     Pix  1 15
2.000000e-03 5.221453e-01 1.730138e+02 9.642066e+01     Pix  1 16
2.000000e-03 5.240165e-01 1.719913e+02 9.632703e+01     Pix  1 17
2.000000e-03 5.316417e-01 1.754584e+02 9.209639e+01     Pix  1 18
2.000000e-03 5.539866e-01 1.720102e+02 9.310698e+01     Pix  1 19
2.000000e-03 5.407061e-01 1.757975e+02 9.253150e+01     Pix  1 20
2.000000e-03 5.502319e-01 1.732536e+02 9.559241e+01     Pix  1 21
2.000000e-03 5.239334e-01 1.740028e+02 9.141258e+01     Pix  1 22
2.000000e-03 5.262731e-01 1.746576e+02 9.446383e+01     Pix  1 23
2.000000e-03 5.767411e-01 1.738258e+02 9.564665e+01     Pix  1 24
2.000000e-03 5.557420e-01 1.766056e+02 9.097034e+01     Pix  1 25
2.000000e-03 5.972163e-01 1.741640e+02 9.385997e+01     Pix  1 26
2.000000e-03 5.532463e-01 1.730978e+02 9.523600e+01     Pix  1 27
2.000000e-03 5.353944e-01 1.724701e+02 9.347030e+01     Pix  1 28
2.000000e-03 5.293946e-01 1.760153e+02 9.209501e+01     Pix  1 29
2.000000e-03 5.703897e-01 1.743303e+02 9.310959e+01     Pix  1 30
1.999921e-03 5.602025e-01 1.744846e+02 9.285526e+01     Pix  1 31
2.000000e-03 5.737757e-01 1.750742e+02 9.388503e+01     Pix  1 32
2.000000e-03 5.508153e-01 1.711111e+02 9.512432e+01     Pix  1 33
2.000000e-03 5.581145e-01 1.684935e+02 9.977408e+01     Pix  1 34
2.000000e-03 5.232523e-01 1.741262e+02 9.594268e+01     Pix  1 35
2.000000e-03 5.672981e-01 1.717699e+02 9.458122e+01     Pix  1 36
2.000000e-03 5.699391e-01 1.723383e+02 9.515787e+01     Pix  1 37
2.000000e-03 5.777112e-01 1.707676e+02 9.739402e+01     Pix  1 38
2.000000e-03 5.081919e-01 1.778016e+02 9.230218e+01     Pix  1 39
2.000000e-03 5.533709e-01 1.739323e+02 9.544250e+01     Pix  1 40
2.000000e-03 5.521100e-01 1.752777e+02 9.106123e+01     Pix  1 41
2.000000e-03 5.597650e-01 1.748249e+02 8.913172e+01     Pix  1 42
2.000000e-03 6.223731e-01 1.719555e+02 9.322208e+01     Pix  1 43
1.999310e-03 5.718093e-01 1.746874e+02 8.869548e+01     Pix  1 44
2.000000e-03 5.700189e-01 1.707385e+02 9.356912e+01     Pix  1 45
2.000000e-03 5.444185e-01 1.751334e+02 9.438975e+01     Pix  1 46
2.000000e-03 5.747334e-01 1.731183e+02 9.611443e+01     Pix  1 47
2.000000e-03 5.972392e-01 1.737617e+02 9.546379e+01     Pix  1 48
2.000000e-03 6.334934e-01 1.718849e+02 9.464442e+01     Pix  1 49
1.999119e-03 5.874538e-01 1.728605e+02 9.109459e+01     Pix  1 50
2.000000e-03 5.812810e-01 1.679040e+02 1.005479e+02     Pix  1 51
2.000000e-03 5.558451e-01 1.695950e+02 9.964503e+01     Pix  1 52
2.000000e-03 5.647511e-01 1.710707e+02 9.758754e+01     Pix  1 53
2.000000e-03 6.143125e-01 1.703547e+02 9.447562e+01     Pix  1 54
2.000000e-03 5.744259e-01 1.704900e+02 9.506521e+01     Pix  1 55
2.000000e-03 5.790549e-01 1.724011e+02 9.435698e+01     Pix  1 56
2.000000e-03 5.484149e-01 1.720240e+02 9.516660e+01     Pix  1 57
2.000000e-03 6.143271e-01 1.692684e+02 9.949628e+01     Pix  1 58
2.000000e-03 5.444195e-01 1.731529e+02 9.207813e+01     Pix  1 59
2.000000e-03 5.990756e-01 1.716755e+02 9.205077e+01     Pix  1 60
2.000000e-03 5.885927e-01 1.723007e+02 9.186766e+01     Pix  1 61
1.999999e-03 5.942593e-01 1.716543e+02 9.050215e+01     Pix  1 62
2.000000e-03 5.862243e-01 1.706004e+02 9.672718e+01     Pix  1 63
2.000000e-03 5.366977e-01 1.738967e+02 9.222006e+01     Pix  1 64
2.000000e-03 6.209039e-01 1.678681e+02 9.898026e+01     Pix  1 65
2.000000e-03 5.992603e-01 1.720530e+02 9.322407e+01     Pix  1 66
2.000000e-03 5.740711e-01 1.740646e+02 9.061193e+01     Pix  1 67
2.000000e-03 5.737903e-01 1.749436e+02 9.090594e+01     Pix  1 68
2.000000e-03 5.477794e-01 1.716769e+02 9.755723e+01     Pix  1 69
2.000000e-03 5.684227e-01 1.705748e+02 9.540498e+01     Pix  1 70
2.000000e-03 5.980085e-01 1.683112e+02 9.905045e+01     Pix  1 71
1.999974e-03 5.960962e-01 1.712635e+02 9.537695e+01     Pix  1 72
2.000000e-03 5.919908e-01 1.706301e+02 9.634252e+01     Pix  1 73
2.000000e-03 6.442926e-01 1.691776e+02 9.576078e+01     Pix  1 74
2.000000e-03 6.048947e-01 1.697712e+02 9.382961e+01     Pix  1 75
2.000000e-03 5.807879e-01 1.707784e+02 9.599864e+01     Pix  1 76
2.000000e-03 6.214461e-01 1.668828e+02 9.842401e+01     Pix  1 77
2.000000e-03 6.618481e-01 1.667164e+02 9.576470e+01     Pix  1 78
1.999798e-03 6.996105e-01 1.592246e+02 9.338895e+01     Pix  1 79
2.000000e-03 4.236054e-01 1.713885e+02 9.882518e+01     Pix  2  0
2.000000e-03 4.570970e-01 1.689514e+02 1.000296e+02     Pix  2  1
2.000000e-03 4.315021e-01 1.721283e+02 9.913364e+01     Pix  2  2
2.000000e-03 3.935003e-01 1.753663e+02 9.691101e+01     Pix  2  3
2.000000e-03 4.429300e-01 1.712070e+02 9.970879e+01     Pix  2  4
2.000000e-03 3.738150e-01 1.767241e+02 9.583760e+01     Pix  2  5
2.000000e-03 4.533308e-01 1.733343e+02 9.542476e+01     Pix  2  6
2.000000e-03 4.618003e-01 1.735450e+02 9.557092e+01     Pix  2  7
2.000000e-03 4.214931e-01 1.760242e+02 9.672354e+01     Pix  2  8
2.000000e-03 4.343260e-01 1.721769e+02 9.837313e+01     Pix  2  9
2.000000e-03 4.180410e-01 1.761610e+02 9.348842e+01     Pix  2 10
2.000000e-03 4.081319e-01 1.768268e+02 9.510849e+01     Pix  2 11
2.000000e-03 4.577126e-01 1.761761e+02 9.210898e+01     Pix  2 12
2.000000e-03 4.870962e-01 1.751343e+02 9.403851e+01     Pix  2 13
2.000000e-03 4.637892e-01 1.749257e+02 9.615863e+01     Pix  2 14
2.000000e-03 4.209317e-01 1.718379e+02 9.873701e+01     Pix  2 15
2.000000e-03 3.589729e-01 1.783968e+02 9.326939e+01     Pix  2 16
2.000000e-03 4.663359e-01 1.687104e+02 1.019475e+02     Pix  2 17
2.000000e-03 5.026447e-01 1.703966e+02 9.929134e+01     Pix  2 18
2.000000e-03 4.352334e-01 1.782929e+02 9.281847e+01     Pix  2 19
2.000000e-03 4.795281e-01 1.747604e+02 9.478600e+01     Pix  2 20
2.000000e-03 4.210900e-01 1.754223e+02 9.578038e+01     Pix  2 21
2.000000e-03 4.690669e-01 1.728467e+02 9.647471e+01     Pix  2 22
2.000000e-03 4.080742e-01 1.768896e+02 9.575835e+01     Pix  2 23
