Parameters of the vcal vs. pulse height fits
par[3] + par[2] * TMath::TanH(par[0]*x[0] - par[1])

2.000000e-03 5.362804e-01 1.587778e+02 1.074866e+02     Pix  0  0
2.000000e-03 5.429613e-01 1.584650e+02 1.067030e+02     Pix  0  1
2.000000e-03 5.206109e-01 1.608242e+02 1.055374e+02     Pix  0  2
2.000000e-03 4.913912e-01 1.617484e+02 1.041940e+02     Pix  0  3
2.000000e-03 4.883777e-01 1.612805e+02 1.063217e+02     Pix  0  4
2.000000e-03 5.245199e-01 1.600699e+02 1.067091e+02     Pix  0  5
2.000000e-03 5.558897e-01 1.598015e+02 1.059393e+02     Pix  0  6
2.000000e-03 5.352914e-01 1.629454e+02 1.026774e+02     Pix  0  7
2.000000e-03 4.992458e-01 1.659656e+02 1.013899e+02     Pix  0  8
2.000000e-03 5.188950e-01 1.625079e+02 1.032494e+02     Pix  0  9
2.000000e-03 5.212975e-01 1.632491e+02 1.027843e+02     Pix  0 10
2.000000e-03 5.257525e-01 1.620126e+02 1.037214e+02     Pix  0 11
2.000000e-03 5.787049e-01 1.608466e+02 1.042482e+02     Pix  0 12
2.000000e-03 5.600254e-01 1.637705e+02 1.021778e+02     Pix  0 13
2.000000e-03 5.453142e-01 1.630797e+02 1.028839e+02     Pix  0 14
2.000000e-03 5.190596e-01 1.623991e+02 1.049250e+02     Pix  0 15
2.000000e-03 5.312892e-01 1.613348e+02 1.044909e+02     Pix  0 16
2.000000e-03 4.759931e-01 1.641358e+02 1.044564e+02     Pix  0 17
2.000000e-03 5.522499e-01 1.626455e+02 1.045062e+02     Pix  0 18
2.000000e-03 5.229028e-01 1.644557e+02 1.024519e+02     Pix  0 19
2.000000e-03 5.450364e-01 1.634688e+02 1.029997e+02     Pix  0 20
2.000000e-03 5.140410e-01 1.621932e+02 1.041349e+02     Pix  0 21
2.000000e-03 5.223598e-01 1.626628e+02 1.034928e+02     Pix  0 22
