Parameters of the vcal vs. pulse height fits
par[3] + par[2] * TMath::TanH(par[0]*x[0] - par[1])

2.000000e-03 4.814034e-01 1.663456e+02 9.960686e+01     Pix  0  0
2.000000e-03 4.244218e-01 1.692737e+02 1.012573e+02     Pix  0  1
2.000000e-03 5.312126e-01 1.628626e+02 1.031196e+02     Pix  0  2
2.000000e-03 4.716974e-01 1.628384e+02 1.036212e+02     Pix  0  3
2.000000e-03 4.918274e-01 1.640999e+02 1.043476e+02     Pix  0  4
2.000000e-03 4.350975e-01 1.704130e+02 1.013169e+02     Pix  0  5
2.000000e-03 5.171272e-01 1.637877e+02 1.013576e+02     Pix  0  6
2.000000e-03 5.234654e-01 1.651159e+02 1.026012e+02     Pix  0  7
2.000000e-03 4.938342e-01 1.682286e+02 9.990748e+01     Pix  0  8
2.000000e-03 4.813729e-01 1.684716e+02 1.015854e+02     Pix  0  9
2.000000e-03 5.142978e-01 1.654805e+02 1.013731e+02     Pix  0 10
2.000000e-03 5.010350e-01 1.661052e+02 1.010568e+02     Pix  0 11
2.000000e-03 4.920378e-01 1.696866e+02 9.607064e+01     Pix  0 12
2.000000e-03 5.314137e-01 1.681535e+02 9.801913e+01     Pix  0 13
2.000000e-03 5.195713e-01 1.692113e+02 9.793855e+01     Pix  0 14
2.000000e-03 5.220475e-01 1.617905e+02 1.050817e+02     Pix  0 15
2.000000e-03 4.721657e-01 1.692970e+02 1.004474e+02     Pix  0 16
2.000000e-03 4.577667e-01 1.686730e+02 1.014001e+02     Pix  0 17
2.000000e-03 4.878280e-01 1.683669e+02 9.896817e+01     Pix  0 18
2.000000e-03 5.103827e-01 1.662847e+02 1.014758e+02     Pix  0 19
2.000000e-03 5.134440e-01 1.680618e+02 9.932520e+01     Pix  0 20
2.000000e-03 4.778915e-01 1.698699e+02 9.790192e+01     Pix  0 21
2.000000e-03 4.576386e-01 1.707369e+02 9.810161e+01     Pix  0 22
2.000000e-03 5.058742e-01 1.671041e+02 1.027130e+02     Pix  0 23
2.000000e-03 4.810952e-01 1.704562e+02 9.764581e+01     Pix  0 24
2.000000e-03 5.206771e-01 1.691745e+02 9.705381e+01     Pix  0 25
2.000000e-03 5.081791e-01 1.685290e+02 9.781115e+01     Pix  0 26
2.000000e-03 4.804009e-01 1.684500e+02 1.006990e+02     Pix  0 27
2.000000e-03 4.655858e-01 1.719876e+02 9.925844e+01     Pix  0 28
2.000000e-03 4.780042e-01 1.696243e+02 1.004736e+02     Pix  0 29
2.000000e-03 5.139923e-01 1.694077e+02 9.718944e+01     Pix  0 30
2.000000e-03 5.276694e-01 1.681659e+02 1.003339e+02     Pix  0 31
2.000000e-03 5.594603e-01 1.658286e+02 9.898327e+01     Pix  0 32
2.000000e-03 4.957288e-01 1.663234e+02 1.013023e+02     Pix  0 33
2.000000e-03 4.445883e-01 1.706918e+02 9.879802e+01     Pix  0 34
2.000000e-03 4.401363e-01 1.719773e+02 9.843365e+01     Pix  0 35
2.000000e-03 5.147536e-01 1.680976e+02 9.951471e+01     Pix  0 36
2.000000e-03 5.037961e-01 1.695375e+02 9.843176e+01     Pix  0 37
2.000000e-03 4.918175e-01 1.701654e+02 9.903682e+01     Pix  0 38
2.000000e-03 4.867310e-01 1.684444e+02 9.969727e+01     Pix  0 39
2.000000e-03 4.977175e-01 1.680911e+02 1.001601e+02     Pix  0 40
2.000000e-03 5.290863e-01 1.670357e+02 1.002649e+02     Pix  0 41
2.000000e-03 5.101855e-01 1.704219e+02 9.797606e+01     Pix  0 42
2.000000e-03 4.910957e-01 1.722270e+02 9.483083e+01     Pix  0 43
2.000000e-03 5.118429e-01 1.689180e+02 9.772915e+01     Pix  0 44
2.000000e-03 4.774608e-01 1.710150e+02 9.726587e+01     Pix  0 45
2.000000e-03 5.205125e-01 1.673055e+02 9.911452e+01     Pix  0 46
2.000000e-03 5.108474e-01 1.687823e+02 9.848982e+01     Pix  0 47
2.000000e-03 5.185424e-01 1.681040e+02 9.835673e+01     Pix  0 48
2.000000e-03 5.989689e-01 1.622955e+02 1.018893e+02     Pix  0 49
2.000000e-03 5.171639e-01 1.683853e+02 9.726812e+01     Pix  0 50
2.000000e-03 4.572587e-01 1.679937e+02 9.994795e+01     Pix  0 51
2.000000e-03 4.830966e-01 1.679379e+02 9.991468e+01     Pix  0 52
2.000000e-03 4.610134e-01 1.695907e+02 1.000228e+02     Pix  0 53
2.000000e-03 5.033813e-01 1.688972e+02 9.579465e+01     Pix  0 54
1.999965e-03 5.203602e-01 1.674524e+02 9.546174e+01     Pix  0 55
2.000000e-03 5.003721e-01 1.664780e+02 1.008389e+02     Pix  0 56
2.000000e-03 5.318317e-01 1.655927e+02 1.012181e+02     Pix  0 57
