Parameters of the vcal vs. pulse height fits
par[3] + par[2] * TMath::TanH(par[0]*x[0] - par[1])

2.000000e-03 5.214279e-01 1.628829e+02 1.034328e+02     Pix  0  0
2.000000e-03 4.815855e-01 1.685266e+02 9.962295e+01     Pix  0  1
2.000000e-03 4.805348e-01 1.682105e+02 9.893829e+01     Pix  0  2
2.000000e-03 4.995197e-01 1.663176e+02 1.005913e+02     Pix  0  3
2.000000e-03 4.922883e-01 1.677202e+02 1.002813e+02     Pix  0  4
2.000000e-03 5.049555e-01 1.670096e+02 9.964800e+01     Pix  0  5
2.000000e-03 5.189657e-01 1.677948e+02 9.827859e+01     Pix  0  6
2.000000e-03 4.814023e-01 1.714559e+02 9.505135e+01     Pix  0  7
2.000000e-03 5.238813e-01 1.678343e+02 9.796802e+01     Pix  0  8
2.000000e-03 4.847939e-01 1.689806e+02 9.853599e+01     Pix  0  9
2.000000e-03 5.242866e-01 1.658712e+02 9.913799e+01     Pix  0 10
2.000000e-03 5.093304e-01 1.686460e+02 9.884543e+01     Pix  0 11
2.000000e-03 5.168790e-01 1.697022e+02 9.572453e+01     Pix  0 12
2.000000e-03 5.144591e-01 1.706295e+02 9.477038e+01     Pix  0 13
2.000000e-03 5.204682e-01 1.688594e+02 9.767360e+01     Pix  0 14
2.000000e-03 4.836747e-01 1.689949e+02 9.941875e+01     Pix  0 15
2.000000e-03 5.015621e-01 1.662370e+02 1.008482e+02     Pix  0 16
2.000000e-03 4.970183e-01 1.682392e+02 9.918348e+01     Pix  0 17
2.000000e-03 5.336690e-01 1.660518e+02 9.947579e+01     Pix  0 18
2.000000e-03 5.257606e-01 1.674744e+02 9.893120e+01     Pix  0 19
2.000000e-03 5.604169e-01 1.656165e+02 9.903020e+01     Pix  0 20
2.000000e-03 4.892097e-01 1.681387e+02 9.826268e+01     Pix  0 21
2.000000e-03 5.447049e-01 1.657948e+02 9.820411e+01     Pix  0 22
2.000000e-03 5.363804e-01 1.666042e+02 1.000533e+02     Pix  0 23
2.000000e-03 5.595820e-01 1.664636e+02 9.903354e+01     Pix  0 24
2.000000e-03 5.764415e-01 1.672862e+02 9.697591e+01     Pix  0 25
2.000000e-03 6.018411e-01 1.662268e+02 9.697019e+01     Pix  0 26
2.000000e-03 5.518644e-01 1.655385e+02 9.986168e+01     Pix  0 27
2.000000e-03 5.313418e-01 1.662973e+02 1.002117e+02     Pix  0 28
2.000000e-03 5.431457e-01 1.658024e+02 9.986700e+01     Pix  0 29
2.000000e-03 5.364235e-01 1.686752e+02 9.440454e+01     Pix  0 30
2.000000e-03 5.879107e-01 1.662027e+02 9.808187e+01     Pix  0 31
2.000000e-03 5.870913e-01 1.656147e+02 9.772465e+01     Pix  0 32
2.000000e-03 5.118762e-01 1.677033e+02 9.823376e+01     Pix  0 33
2.000000e-03 5.469509e-01 1.635554e+02 1.048758e+02     Pix  0 34
2.000000e-03 5.307285e-01 1.657627e+02 1.006821e+02     Pix  0 35
2.000000e-03 5.288974e-01 1.669825e+02 9.745697e+01     Pix  0 36
2.000000e-03 5.804175e-01 1.649904e+02 1.002388e+02     Pix  0 37
2.000000e-03 5.632864e-01 1.640952e+02 9.983005e+01     Pix  0 38
1.999962e-03 5.493934e-01 1.663237e+02 9.897299e+01     Pix  0 39
2.000000e-03 5.404496e-01 1.663671e+02 1.005194e+02     Pix  0 40
2.000000e-03 5.480827e-01 1.638146e+02 9.963922e+01     Pix  0 41
2.000000e-03 5.846636e-01 1.654382e+02 9.909788e+01     Pix  0 42
2.000000e-03 5.926414e-01 1.634327e+02 1.014373e+02     Pix  0 43
2.000000e-03 5.391938e-01 1.671593e+02 9.694594e+01     Pix  0 44
2.000000e-03 5.353483e-01 1.668804e+02 9.714694e+01     Pix  0 45
2.000000e-03 5.597605e-01 1.639236e+02 1.002686e+02     Pix  0 46
2.000000e-03 5.938508e-01 1.617016e+02 1.019000e+02     Pix  0 47
