 7   Pix  0  0
 4   Pix  0  1
 6   Pix  0  2
 7   Pix  0  3
 8   Pix  0  4
 7   Pix  0  5
 6   Pix  0  6
10   Pix  0  7
 8   Pix  0  8
11   Pix  0  9
 8   Pix  0 10
 8   Pix  0 11
 9   Pix  0 12
 8   Pix  0 13
10   Pix  0 14
10   Pix  0 15
 6   Pix  0 16
11   Pix  0 17
 8   Pix  0 18
 6   Pix  0 19
 8   Pix  0 20
11   Pix  0 21
 9   Pix  0 22
 8   Pix  0 23
 8   Pix  0 24
 4   Pix  0 25
10   Pix  0 26
 8   Pix  0 27
 8   Pix  0 28
 6   Pix  0 29
11   Pix  0 30
 9   Pix  0 31
 8   Pix  0 32
 8   Pix  0 33
 8   Pix  0 34
 6   Pix  0 35
12   Pix  0 36
 7   Pix  0 37
10   Pix  0 38
10   Pix  0 39
 7   Pix  0 40
 8   Pix  0 41
11   Pix  0 42
11   Pix  0 43
10   Pix  0 44
11   Pix  0 45
10   Pix  0 46
12   Pix  0 47
 9   Pix  0 48
10   Pix  0 49
12   Pix  0 50
 9   Pix  0 51
10   Pix  0 52
 7   Pix  0 53
 6   Pix  0 54
10   Pix  0 55
 8   Pix  0 56
 7   Pix  0 57
 8   Pix  0 58
10   Pix  0 59
10   Pix  0 60
10   Pix  0 61
 9   Pix  0 62
 9   Pix  0 63
 7   Pix  0 64
 7   Pix  0 65
11   Pix  0 66
 7   Pix  0 67
 6   Pix  0 68
 8   Pix  0 69
 5   Pix  0 70
 6   Pix  0 71
 8   Pix  0 72
 7   Pix  0 73
 6   Pix  0 74
 8   Pix  0 75
 6   Pix  0 76
 7   Pix  0 77
10   Pix  0 78
 5   Pix  0 79
 7   Pix  1  0
10   Pix  1  1
 6   Pix  1  2
 7   Pix  1  3
 6   Pix  1  4
 8   Pix  1  5
 5   Pix  1  6
12   Pix  1  7
 5   Pix  1  8
 9   Pix  1  9
13   Pix  1 10
 9   Pix  1 11
11   Pix  1 12
 9   Pix  1 13
 9   Pix  1 14
10   Pix  1 15
 9   Pix  1 16
11   Pix  1 17
13   Pix  1 18
 9   Pix  1 19
 7   Pix  1 20
