Pulse heights for the following Vcal values:
Low range:  50 100 150 200 250 
High range:  30 50 70 90 200 

  54  70  85 100 117  99 146 187 227 255    Pix  0  0
  50  65  81  96 113  94 142 182 223 255    Pix  0  1
  52  67  83 100 116  97 147 187 229 255    Pix  0  2
  49  64  80  94 110  94 139 179 220 255    Pix  0  3
  51  66  81  97 113  96 143 184 224 255    Pix  0  4
  50  67  83  98 114  97 144 184 227 255    Pix  0  5
  47  63  80  95 112  94 141 182 225 255    Pix  0  6
  49  65  81  96 112  95 144 184 225 255    Pix  0  7
  48  64  78  95 110  93 140 182 223 255    Pix  0  8
  49  64  80  95 110  93 140 180 220 255    Pix  0  9
  50  66  81  97 112  96 142 183 223 255    Pix  0 10
  49  64  81  95 114  95 143 184 227 255    Pix  0 11
  39  54  69  85 100  84 132 173 214 255    Pix  0 12
  39  54  70  86 101  84 131 172 213 255    Pix  0 13
  42  57  74  87 104  87 134 174 217 255    Pix  0 14
  46  62  76  92 108  90 136 177 219 255    Pix  0 15
  56  73  90 106 122 104 154 195 238 255    Pix  0 16
  49  63  80  94 111  94 141 182 223 255    Pix  0 17
  45  60  76  92 109  90 139 180 221 255    Pix  0 18
  43  57  73  89 106  88 134 176 216 255    Pix  0 19
  40  55  72  86 103  85 132 172 214 255    Pix  0 20
  47  62  78  94 111  92 141 182 223 255    Pix  0 21
  44  59  75  91 108  89 137 179 222 255    Pix  0 22
  48  63  78  95 111  94 140 182 223 255    Pix  0 23
  41  55  71  86 103  85 133 173 216 255    Pix  0 24
  40  55  71  86 102  85 132 174 215 255    Pix  0 25
  44  58  74  90 108  89 137 178 220 255    Pix  0 26
  46  61  77  92 109  91 139 180 222 255    Pix  0 27
  45  60  76  93 109  90 139 180 221 255    Pix  0 28
  44  58  75  89 107  89 135 179 219 255    Pix  0 29
  37  52  68  84 100  83 130 173 213 255    Pix  0 30
  40  54  70  86 102  84 131 172 212 255    Pix  0 31
  41  55  71  86 101  86 133 173 214 255    Pix  0 32
  43  58  73  87 104  87 133 172 212 255    Pix  0 33
  48  64  79  94 110  93 141 182 224 255    Pix  0 34
  47  62  77  93 110  92 139 180 221 255    Pix  0 35
  39  52  68  84 100  82 129 170 212 255    Pix  0 36
  44  57  74  90 107  88 135 177 219 255    Pix  0 37
  41  55  71  86 103  84 133 173 215 255    Pix  0 38
  42  56  72  87 104  85 132 172 213 255    Pix  0 39
  45  60  76  92 108  90 138 179 219 255    Pix  0 40
  45  58  75  90 106  89 135 178 218 255    Pix  0 41
  39  54  70  86 101  83 132 172 213 255    Pix  0 42
  43  57  74  90 105  88 137 178 220 255    Pix  0 43
  42  56  72  87 103  86 132 173 213 255    Pix  0 44
  45  59  75  92 108  89 138 178 219 255    Pix  0 45
  42  56  72  88 103  86 133 173 213 255    Pix  0 46
  41  55  71  85 100  84 131 172 212 255    Pix  0 47
  36  50  67  83  98  80 129 170 212 255    Pix  0 48
  37  51  67  83  98  80 126 167 207 255    Pix  0 49
  39  53  69  84 100  82 130 170 212 255    Pix  0 50
  44  58  74  89 104  88 134 175 215 255    Pix  0 51
  48  63  78  94 111  92 141 181 221 255    Pix  0 52
  47  63  78  94 109  92 139 180 221 255    Pix  0 53
  38  53  68  83  99  83 128 169 210 255    Pix  0 54
  38  53  69  84 100  83 130 171 212 255    Pix  0 55
  35  49  64  79  95  78 124 165 206 255    Pix  0 56
  43  57  72  87 103  85 131 172 212 255    Pix  0 57
  43  56  71  86 102  85 131 172 212 255    Pix  0 58
  44  59  74  90 106  88 136 177 219 255    Pix  0 59
  36  51  65  81  97  80 127 167 209 255    Pix  0 60
  35  49  65  79  96  78 125 165 206 255    Pix  0 61
  34  49  64  78  94  78 124 164 205 255    Pix  0 62
  42  56  72  88 104  85 133 173 215 255    Pix  0 63
  39  53  68  83  99  82 127 168 209 255    Pix  0 64
  41  54  69  84 100  84 129 170 210 255    Pix  0 65
  32  45  61  76  91  74 119 159 199 255    Pix  0 66
  33  45  61  76  92  75 122 162 199 255    Pix  0 67
  32  46  61  76  92  74 118 160 200 255    Pix  0 68
  46  60  77  91 107  91 137 177 219 255    Pix  0 69
  48  63  78  94 109  93 139 179 219 255    Pix  0 70
  48  63  78  93 108  92 138 179 219 255    Pix  0 71
  44  59  75  91 106  88 135 175 217 255    Pix  0 72
  38  52  67  82  98  81 127 166 208 255    Pix  0 73
  41  55  70  85 101  84 130 172 213 255    Pix  0 74
  39  53  67  83  99  81 127 166 207 255    Pix  0 75
  43  57  72  87 103  87 133 173 213 255    Pix  0 76
  48  63  77  93 110  92 141 180 222 255    Pix  0 77
  36  51  66  81  97  78 125 165 206 255    Pix  0 78
  32  44  59  72  86  70 112 150 187 255    Pix  0 79
  55  71  87 104 122 102 153 196 240 255    Pix  1  0
  49  65  83 100 116  97 149 192 237 255    Pix  1  1
  51  66  82 100 116  96 148 191 235 255    Pix  1  2
  45  61  77  93 111  91 142 184 227 255    Pix  1  3
  49  64  80  97 114  95 146 189 231 255    Pix  1  4
  51  67  84 101 118  98 148 193 235 255    Pix  1  5
  47  64  79  97 113  96 145 187 231 255    Pix  1  6
  43  59  75  91 109  89 139 184 225 255    Pix  1  7
  43  58  75  92 108  90 140 183 227 255    Pix  1  8
  46  61  79  95 113  93 144 187 231 255    Pix  1  9
  44  60  77  94 109  91 142 185 228 255    Pix  1 10
  47  64  79  96 115  95 146 190 234 255    Pix  1 11
  40  55  73  89 107  88 139 181 226 255    Pix  1 12
  40  55  73  90 107  87 139 182 226 255    Pix  1 13
  39  56  73  91 109  89 140 185 230 255    Pix  1 14
  48  65  82  98 115  97 148 190 233 255    Pix  1 15
  54  70  88 105 122 103 155 200 243 255    Pix  1 16
  48  63  79  96 113  94 146 188 230 255    Pix  1 17
  50  66  84 100 117  99 150 193 236 255    Pix  1 18
  46  62  79  96 112  93 146 189 233 255    Pix  1 19
  43  58  76  93 110  91 142 186 229 255    Pix  1 20
  43  58  76  92 109  90 142 186 229 255    Pix  1 21
  46  63  79  97 114  94 147 190 234 255    Pix  1 22
  40  54  72  87 105  85 136 179 223 255    Pix  1 23
  39  55  74  90 107  88 138 182 225 255    Pix  1 24
  40  55  73  90 108  87 139 181 226 255    Pix  1 25
  37  53  69  88 105  85 137 180 224 255    Pix  1 26
  44  59  76  94 110  91 142 187 229 255    Pix  1 27
  47  63  80  98 115  96 147 191 235 255    Pix  1 28
  41  55  72  90 106  87 137 180 223 255    Pix  1 29
  41  58  75  92 108  91 141 185 230 255    Pix  1 30
  38  55  72  89 105  85 137 180 224 255    Pix  1 31
  40  55  71  88 106  87 139 181 226 255    Pix  1 32
  46  61  77  94 111  93 143 188 229 255    Pix  1 33
  47  64  79  97 114  95 146 190 235 255    Pix  1 34
  53  70  86 104 122 102 155 198 243 255    Pix  1 35
  43  59  76  92 109  91 141 184 227 255    Pix  1 36
  40  56  73  90 109  87 139 183 226 255    Pix  1 37
  39  55  71  88 106  86 137 180 224 255    Pix  1 38
  48  64  81  98 115  96 147 192 238 255    Pix  1 39
  45  61  77  94 112  93 142 187 230 255    Pix  1 40
  43  60  76  93 109  91 141 185 227 255    Pix  1 41
  40  56  74  89 107  88 140 182 228 255    Pix  1 42
  35  51  68  84 102  83 133 177 221 255    Pix  1 43
  37  52  68  85 103  84 134 176 220 255    Pix  1 44
  45  61  78  94 111  92 143 187 230 255    Pix  1 45
  40  55  72  89 107  88 138 181 224 255    Pix  1 46
  44  61  77  94 111  92 143 186 229 255    Pix  1 47
  44  59  77  92 111  91 142 187 230 255    Pix  1 48
  36  51  68  84 101  83 131 174 218 255    Pix  1 49
  33  48  65  81  98  79 129 170 214 255    Pix  1 50
  46  62  78  95 112  94 143 186 228 255    Pix  1 51
  45  59  77  93 110  91 141 184 228 255    Pix  1 52
  48  64  80  98 115  96 147 190 234 255    Pix  1 53
  40  54  70  87 103  86 134 178 221 255    Pix  1 54
  44  60  76  93 109  91 142 185 228 255    Pix  1 55
  43  59  76  91 109  90 140 184 227 255    Pix  1 56
  43  59  75  91 108  90 141 182 225 255    Pix  1 57
  46  60  77  93 109  92 142 185 228 255    Pix  1 58
  47  63  80  96 113  95 146 188 232 255    Pix  1 59
  32  46  63  78  95  77 127 169 211 255    Pix  1 60
  36  50  67  84 100  81 132 175 218 255    Pix  1 61
  35  48  64  81  97  79 129 171 212 255    Pix  1 62
  40  56  72  88 105  87 136 179 222 255    Pix  1 63
  43  58  75  91 109  89 140 182 226 255    Pix  1 64
  41  57  74  90 108  88 138 182 225 255    Pix  1 65
  31  46  62  77  94  76 125 166 209 255    Pix  1 66
  36  51  68  84 102  82 132 175 220 255    Pix  1 67
  33  49  65  81  98  79 128 170 213 255    Pix  1 68
  48  64  80  96 114  94 146 189 229 255    Pix  1 69
  45  62  77  94 110  92 140 181 224 255    Pix  1 70
  48  63  79  95 113  94 144 186 228 255    Pix  1 71
  37  52  69  84 101  83 131 173 216 255    Pix  1 72
  39  55  72  88 105  86 137 178 223 255    Pix  1 73
  38  52  69  86 103  84 133 177 220 255    Pix  1 74
  39  54  72  87 105  86 135 178 222 255    Pix  1 75
  40  57  73  90 106  87 138 180 223 255    Pix  1 76
  40  55  71  87 105  85 134 177 220 255    Pix  1 77
  36  52  68  85 102  84 133 175 219 255    Pix  1 78
  29  44  59  74  89  72 118 158 198 255    Pix  1 79
  43  58  76  92 109  92 142 186 228 255    Pix  2  0
  38  55  71  88 105  87 136 179 223 255    Pix  2  1
  41  59  76  92 110  91 141 185 229 255    Pix  2  2
  45  61  78  95 113  93 145 189 231 255    Pix  2  3
  41  57  75  90 108  89 139 183 227 255    Pix  2  4
  41  56  74  90 108  88 137 180 223 255    Pix  2  5
  34  50  67  85 101  82 132 176 220 255    Pix  2  6
  30  45  61  78  94  76 127 169 211 255    Pix  2  7
  36  51  69  85 101  84 134 177 220 255    Pix  2  8
  32  48  65  80  97  79 128 171 215 255    Pix  2  9
  34  49  66  82 100  81 131 175 219 255    Pix  2 10
  32  47  64  81  98  80 130 173 218 255    Pix  2 11
  27  42  59  74  92  73 123 165 208 255    Pix  2 12
  26  41  58  75  92  71 124 166 210 255    Pix  2 13
  31  46  64  80 100  79 131 174 219 255    Pix  2 14
  40  56  72  90 107  88 139 182 224 255    Pix  2 15
  38  54  71  89 105  86 137 180 224 255    Pix  2 16
  36  50  67  84 100  82 131 172 215 255    Pix  2 17
  32  48  65  81  99  79 131 173 217 255    Pix  2 18
  35  50  67  84 100  83 132 177 221 255    Pix  2 19
  31  48  64  82  99  79 131 174 221 255    Pix  2 20
  35  49  67  83 100  82 133 175 220 255    Pix  2 21
  32  46  64  81  98  79 130 174 216 255    Pix  2 22
  39  56  73  91 109  90 140 184 228 255    Pix  2 23
  27  42  59  76  93  74 125 169 213 255    Pix  2 24
  28  43  59  76  94  74 125 168 212 255    Pix  2 25
  32  47  65  81  99  80 131 175 219 255    Pix  2 26
  35  50  68  84 101  83 133 177 220 255    Pix  2 27
  31  46  63  79  95  77 128 171 214 255    Pix  2 28
  37  52  69  86 103  84 135 179 222 255    Pix  2 29
  28  43  60  77  94  74 125 168 213 255    Pix  2 30
  28  43  59  76  92  75 125 167 212 255    Pix  2 31
  28  42  58  77  92  74 125 167 209 255    Pix  2 32
  39  55  72  88 105  86 136 178 223 255    Pix  2 33
  30  44  61  77  94  76 126 168 213 255    Pix  2 34
  35  50  68  83 101  81 132 176 220 255    Pix  2 35
  32  46  64  80  97  77 130 172 216 255    Pix  2 36
  30  47  63  79  97  79 129 173 217 255    Pix  2 37
  26  40  57  74  91  72 123 165 208 255    Pix  2 38
  35  51  67  84 101  83 133 176 221 255    Pix  2 39
  33  47  64  81  97  79 129 172 215 255    Pix  2 40
  29  44  61  77  93  75 125 167 211 255    Pix  2 41
  27  43  59  76  92  73 124 168 210 255    Pix  2 42
  26  40  57  75  92  72 123 166 210 255    Pix  2 43
  23  37  53  70  86  69 118 161 203 255    Pix  2 44
  32  47  64  80  96  78 130 172 215 255    Pix  2 45
  32  48  66  83 101  80 134 179 223 255    Pix  2 46
  33  49  66  83 100  81 132 176 220 255    Pix  2 47
  28  44  61  78  96  76 130 174 221 255    Pix  2 48
  25  40  55  72  90  69 119 162 205 255    Pix  2 49
  24  39  56  72  90  70 122 165 207 255    Pix  2 50
  31  46  63  79  95  77 126 169 211 255    Pix  2 51
  37  52  69  86 104  84 135 179 223 255    Pix  2 52
  36  52  69  85 102  84 134 177 219 255    Pix  2 53
  27  41  57  74  91  73 124 166 208 255    Pix  2 54
  28  43  60  75  92  74 124 166 208 255    Pix  2 55
  30  44  62  78  96  75 126 171 213 255    Pix  2 56
  32  48  65  81  98  79 129 173 216 255    Pix  2 57
  31  46  63  79  96  77 126 171 214 255    Pix  2 58
  28  43  59  76  92  75 124 165 208 255    Pix  2 59
  24  38  54  71  88  69 119 162 205 255    Pix  2 60
  29  44  60  76  93  75 124 167 209 255    Pix  2 61
  22  37  53  70  86  68 116 159 201 255    Pix  2 62
  32  46  64  81  97  78 130 173 216 255    Pix  2 63
  33  48  65  81  97  79 127 171 213 255    Pix  2 64
  30  45  60  76  93  76 124 166 210 255    Pix  2 65
  24  38  55  71  88  69 118 161 205 255    Pix  2 66
  27  42  59  74  92  72 123 164 209 255    Pix  2 67
  23  37  54  70  86  69 118 160 204 255    Pix  2 68
  33  48  65  82  99  80 130 172 216 255    Pix  2 69
  34  48  66  81  99  80 129 171 214 255    Pix  2 70
  32  47  63  78  97  77 126 169 212 255    Pix  2 71
  28  41  58  75  91  72 121 162 205 255    Pix  2 72
  30  43  60  77  93  76 125 167 209 255    Pix  2 73
  26  39  55  70  88  69 116 159 200 255    Pix  2 74
  31  46  63  78  95  77 126 168 211 255    Pix  2 75
  28  43  59  75  92  74 123 165 208 255    Pix  2 76
  29  44  61  77  93  76 124 166 209 255    Pix  2 77
  27  43  60  75  93  74 124 166 209 255    Pix  2 78
  21  35  50  64  80  63 108 147 187 255    Pix  2 79
  37  52  69  87 103  84 134 178 222 255    Pix  3  0
  32  47  65  81  98  79 129 172 215 255    Pix  3  1
  36  52  69  85 102  84 134 176 220 255    Pix  3  2
  38  54  71  88 105  86 137 179 224 255    Pix  3  3
  35  49  67  82 100  80 130 173 216 255    Pix  3  4
  40  56  73  91 108  88 140 183 226 255    Pix  3  5
  30  44  62  77  94  75 125 168 211 255    Pix  3  6
