Parameters of the vcal vs. pulse height fits
par[3] + par[2] * TMath::TanH(par[0]*x[0] - par[1])

2.000000e-03 4.407386e-01 1.599842e+02 1.064846e+02     Pix  0  0
2.000000e-03 4.641222e-01 1.599013e+02 1.056477e+02     Pix  0  1
2.000000e-03 4.329450e-01 1.636110e+02 1.040793e+02     Pix  0  2
2.000000e-03 4.792997e-01 1.578477e+02 1.062583e+02     Pix  0  3
2.000000e-03 4.616793e-01 1.600120e+02 1.062278e+02     Pix  0  4
2.000000e-03 4.268152e-01 1.635250e+02 1.019339e+02     Pix  0  5
2.000000e-03 4.366442e-01 1.647653e+02 1.005308e+02     Pix  0  6
2.000000e-03 4.455889e-01 1.630821e+02 1.032110e+02     Pix  0  7
2.000000e-03 4.735871e-01 1.607048e+02 1.054510e+02     Pix  0  8
2.000000e-03 4.773576e-01 1.583764e+02 1.061216e+02     Pix  0  9
2.000000e-03 4.530525e-01 1.605218e+02 1.045502e+02     Pix  0 10
2.000000e-03 4.465188e-01 1.637572e+02 1.032736e+02     Pix  0 11
2.000000e-03 5.166803e-01 1.617287e+02 1.027416e+02     Pix  0 12
2.000000e-03 5.047120e-01 1.616916e+02 1.011814e+02     Pix  0 13
2.000000e-03 5.000917e-01 1.608018e+02 1.032394e+02     Pix  0 14
2.000000e-03 4.952192e-01 1.585324e+02 1.058721e+02     Pix  0 15
2.000000e-03 3.675315e-01 1.692695e+02 1.000593e+02     Pix  0 16
2.000000e-03 4.723490e-01 1.604695e+02 1.057410e+02     Pix  0 17
2.000000e-03 4.703117e-01 1.631607e+02 1.025834e+02     Pix  0 18
2.000000e-03 4.944133e-01 1.610025e+02 1.031089e+02     Pix  0 19
2.000000e-03 4.974522e-01 1.614780e+02 1.011389e+02     Pix  0 20
2.000000e-03 4.616012e-01 1.630201e+02 1.032356e+02     Pix  0 21
2.000000e-03 4.794608e-01 1.631999e+02 1.029525e+02     Pix  0 22
2.000000e-03 4.633009e-01 1.617735e+02 1.040745e+02     Pix  0 23
2.000000e-03 5.169585e-01 1.607254e+02 1.041508e+02     Pix  0 24
2.000000e-03 5.069247e-01 1.617075e+02 1.024507e+02     Pix  0 25
1.999988e-03 4.851695e-01 1.625902e+02 1.032330e+02     Pix  0 26
2.000000e-03 4.771278e-01 1.618693e+02 1.041572e+02     Pix  0 27
2.000000e-03 4.657762e-01 1.634570e+02 1.020379e+02     Pix  0 28
2.000000e-03 4.937216e-01 1.615224e+02 1.041999e+02     Pix  0 29
2.000000e-03 5.033269e-01 1.639374e+02 9.973806e+01     Pix  0 30
2.000000e-03 5.148663e-01 1.602997e+02 1.027752e+02     Pix  0 31
2.000000e-03 5.172958e-01 1.601122e+02 1.040139e+02     Pix  0 32
2.000000e-03 5.154949e-01 1.572397e+02 1.050134e+02     Pix  0 33
2.000000e-03 4.731647e-01 1.610183e+02 1.055338e+02     Pix  0 34
2.000000e-03 4.765594e-01 1.607878e+02 1.046636e+02     Pix  0 35
2.000000e-03 5.405161e-01 1.594682e+02 1.046554e+02     Pix  0 36
2.000000e-03 4.979406e-01 1.612191e+02 1.043749e+02     Pix  0 37
2.000000e-03 5.214006e-01 1.602359e+02 1.045752e+02     Pix  0 38
2.000000e-03 5.184636e-01 1.585024e+02 1.046131e+02     Pix  0 39
2.000000e-03 4.742094e-01 1.619469e+02 1.028096e+02     Pix  0 40
2.000000e-03 5.063160e-01 1.595980e+02 1.059904e+02     Pix  0 41
2.000000e-03 5.082481e-01 1.616548e+02 1.016303e+02     Pix  0 42
2.000000e-03 4.880955e-01 1.631407e+02 1.029368e+02     Pix  0 43
2.000000e-03 5.168517e-01 1.587809e+02 1.045016e+02     Pix  0 44
2.000000e-03 4.834342e-01 1.615444e+02 1.036542e+02     Pix  0 45
2.000000e-03 5.097248e-01 1.593440e+02 1.037213e+02     Pix  0 46
2.000000e-03 5.395351e-01 1.577964e+02 1.061989e+02     Pix  0 47
2.000000e-03 5.226720e-01 1.629129e+02 1.008777e+02     Pix  0 48
2.000000e-03 5.381497e-01 1.586763e+02 1.024548e+02     Pix  0 49
2.000000e-03 5.344257e-01 1.595170e+02 1.041642e+02     Pix  0 50
2.000000e-03 5.130011e-01 1.582297e+02 1.057560e+02     Pix  0 51
2.000000e-03 4.740496e-01 1.605249e+02 1.051653e+02     Pix  0 52
2.000000e-03 4.729336e-01 1.605094e+02 1.044248e+02     Pix  0 53
2.000000e-03 5.279515e-01 1.594970e+02 1.025796e+02     Pix  0 54
2.000000e-03 5.131138e-01 1.615677e+02 1.013057e+02     Pix  0 55
2.000000e-03 5.639822e-01 1.584366e+02 1.037083e+02     Pix  0 56
2.000000e-03 5.394544e-01 1.559851e+02 1.074461e+02     Pix  0 57
2.000000e-03 5.510497e-01 1.557986e+02 1.085354e+02     Pix  0 58
2.000000e-03 5.003063e-01 1.605470e+02 1.049756e+02     Pix  0 59
1.998991e-03 5.434033e-01 1.599544e+02 1.027576e+02     Pix  0 60
2.000000e-03 5.536100e-01 1.590357e+02 1.026229e+02     Pix  0 61
1.999999e-03 5.549746e-01 1.589511e+02 1.020263e+02     Pix  0 62
2.000000e-03 5.139512e-01 1.596371e+02 1.043775e+02     Pix  0 63
1.999876e-03 5.504800e-01 1.570612e+02 1.053820e+02     Pix  0 64
2.000000e-03 5.537824e-01 1.563603e+02 1.071647e+02     Pix  0 65
1.953481e-03 5.611804e-01 1.594277e+02 1.009886e+02     Pix  0 66
2.000000e-03 5.834135e-01 1.574535e+02 1.032927e+02     Pix  0 67
1.944441e-03 5.560491e-01 1.600714e+02 1.008721e+02     Pix  0 68
2.000000e-03 4.912105e-01 1.593930e+02 1.051758e+02     Pix  0 69
2.000000e-03 4.796696e-01 1.587233e+02 1.055006e+02     Pix  0 70
2.000000e-03 4.968989e-01 1.574312e+02 1.074566e+02     Pix  0 71
2.000000e-03 4.920141e-01 1.597732e+02 1.037186e+02     Pix  0 72
2.000000e-03 5.517816e-01 1.572564e+02 1.046322e+02     Pix  0 73
2.000000e-03 5.426886e-01 1.578860e+02 1.065797e+02     Pix  0 74
2.000000e-03 5.577234e-01 1.558578e+02 1.057930e+02     Pix  0 75
2.000000e-03 5.242603e-01 1.576173e+02 1.059895e+02     Pix  0 76
2.000000e-03 4.877861e-01 1.597091e+02 1.067406e+02     Pix  0 77
1.998066e-03 5.511267e-01 1.579056e+02 1.031287e+02     Pix  0 78
1.763160e-03 5.418470e-01 1.617868e+02 1.007462e+02     Pix  0 79
2.000000e-03 3.892334e-01 1.695139e+02 1.020469e+02     Pix  1  0
2.000000e-03 3.956049e-01 1.725871e+02 9.811529e+01     Pix  1  1
2.000000e-03 4.325427e-01 1.671676e+02 1.039098e+02     Pix  1  2
2.000000e-03 4.492790e-01 1.671963e+02 1.009335e+02     Pix  1  3
2.000000e-03 4.386373e-01 1.670714e+02 1.028610e+02     Pix  1  4
2.000000e-03 4.018842e-01 1.697165e+02 1.003123e+02     Pix  1  5
2.000000e-03 4.149325e-01 1.696687e+02 9.861744e+01     Pix  1  6
2.000000e-03 4.603496e-01 1.674435e+02 1.007029e+02     Pix  1  7
2.000000e-03 4.543725e-01 1.685062e+02 9.991487e+01     Pix  1  8
2.000000e-03 4.284759e-01 1.699929e+02 9.935522e+01     Pix  1  9
2.000000e-03 4.395648e-01 1.691985e+02 9.916079e+01     Pix  1 10
2.000000e-03 4.189002e-01 1.710386e+02 9.948783e+01     Pix  1 11
2.000000e-03 4.485127e-01 1.711486e+02 9.689759e+01     Pix  1 12
2.000000e-03 4.498446e-01 1.712696e+02 9.713241e+01     Pix  1 13
2.000000e-03 4.147041e-01 1.763615e+02 9.255564e+01     Pix  1 14
2.000000e-03 3.953511e-01 1.718160e+02 9.716335e+01     Pix  1 15
2.000000e-03 3.607991e-01 1.749661e+02 9.783774e+01     Pix  1 16
2.000000e-03 4.411436e-01 1.674428e+02 1.023505e+02     Pix  1 17
2.000000e-03 3.874431e-01 1.725049e+02 9.776556e+01     Pix  1 18
2.000000e-03 4.263166e-01 1.710179e+02 9.951121e+01     Pix  1 19
2.000000e-03 4.313667e-01 1.718059e+02 9.736534e+01     Pix  1 20
2.000000e-03 4.452683e-01 1.706376e+02 9.915901e+01     Pix  1 21
2.000000e-03 4.075168e-01 1.730553e+02 9.731809e+01     Pix  1 22
2.000000e-03 4.884058e-01 1.669623e+02 1.012654e+02     Pix  1 23
2.000000e-03 4.255332e-01 1.733029e+02 9.334804e+01     Pix  1 24
2.000000e-03 4.458947e-01 1.713946e+02 9.656405e+01     Pix  1 25
2.000000e-03 4.518291e-01 1.727756e+02 9.509900e+01     Pix  1 26
2.000000e-03 4.411712e-01 1.702880e+02 9.936327e+01     Pix  1 27
2.000000e-03 3.995516e-01 1.735016e+02 9.693126e+01     Pix  1 28
2.000000e-03 4.723815e-01 1.675654e+02 1.000504e+02     Pix  1 29
2.000000e-03 4.212534e-01 1.737204e+02 9.490170e+01     Pix  1 30
2.000000e-03 4.480440e-01 1.713995e+02 9.547321e+01     Pix  1 31
2.000000e-03 4.705290e-01 1.697115e+02 9.962792e+01     Pix  1 32
2.000000e-03 4.484118e-01 1.681859e+02 1.017252e+02     Pix  1 33
2.000000e-03 4.193518e-01 1.711313e+02 9.960864e+01     Pix  1 34
2.000000e-03 3.647605e-01 1.750389e+02 9.767192e+01     Pix  1 35
2.000000e-03 4.387415e-01 1.697390e+02 9.819682e+01     Pix  1 36
2.000000e-03 4.421615e-01 1.719102e+02 9.634918e+01     Pix  1 37
2.000000e-03 4.626060e-01 1.698853e+02 9.784978e+01     Pix  1 38
2.000000e-03 4.131243e-01 1.720829e+02 9.969200e+01     Pix  1 39
2.000000e-03 4.336477e-01 1.698411e+02 9.931990e+01     Pix  1 40
2.000000e-03 4.340430e-01 1.700224e+02 9.779370e+01     Pix  1 41
2.000000e-03 4.446203e-01 1.718564e+02 9.678690e+01     Pix  1 42
2.000000e-03 4.700612e-01 1.711952e+02 9.552674e+01     Pix  1 43
2.000000e-03 4.830140e-01 1.684846e+02 9.821830e+01     Pix  1 44
2.000000e-03 4.369678e-01 1.695508e+02 9.980446e+01     Pix  1 45
2.000000e-03 4.521952e-01 1.703746e+02 9.717601e+01     Pix  1 46
2.000000e-03 4.249070e-01 1.708377e+02 9.756008e+01     Pix  1 47
2.000000e-03 4.435913e-01 1.702819e+02 9.976739e+01     Pix  1 48
2.000000e-03 4.888641e-01 1.674436e+02 9.787694e+01     Pix  1 49
2.000000e-03 5.021416e-01 1.673704e+02 9.681092e+01     Pix  1 50
2.000000e-03 4.291858e-01 1.685958e+02 9.930235e+01     Pix  1 51
2.000000e-03 4.563988e-01 1.672920e+02 1.015548e+02     Pix  1 52
2.000000e-03 4.122456e-01 1.709780e+02 9.920908e+01     Pix  1 53
2.000000e-03 5.001922e-01 1.652974e+02 1.023356e+02     Pix  1 54
2.000000e-03 4.479364e-01 1.687006e+02 1.001902e+02     Pix  1 55
2.000000e-03 4.510991e-01 1.686253e+02 9.974052e+01     Pix  1 56
2.000000e-03 4.541107e-01 1.677116e+02 9.985534e+01     Pix  1 57
2.000000e-03 4.668584e-01 1.659354e+02 1.035820e+02     Pix  1 58
2.000000e-03 4.201638e-01 1.700617e+02 9.931492e+01     Pix  1 59
2.000000e-03 5.329773e-01 1.656036e+02 9.929059e+01     Pix  1 60
2.000000e-03 5.069972e-01 1.670750e+02 1.000369e+02     Pix  1 61
2.000000e-03 5.392074e-01 1.638236e+02 1.020772e+02     Pix  1 62
2.000000e-03 4.707339e-01 1.673040e+02 9.930103e+01     Pix  1 63
2.000000e-03 4.592435e-01 1.677623e+02 1.003957e+02     Pix  1 64
2.000000e-03 4.509953e-01 1.694497e+02 9.801772e+01     Pix  1 65
2.000000e-03 5.354527e-01 1.646145e+02 9.853355e+01     Pix  1 66
