#
#--------LOG from Wed 11 Nov 2015 at 11h:06m:47s ---------
#
-150.0484	1.691672e-08	1447261623.84
-150.0483	1.827256e-08	1447261636.25
-150.0477	1.6739e-08	1447261648.67
-150.0477	1.787436e-08	1447261661.09
-150.0479	1.810801e-08	1447261673.5
-150.0479	1.548847e-08	1447261685.92
-150.0474	1.805535e-08	1447261698.33
-150.0474	1.526304e-08	1447261710.75
-150.0478	1.700886e-08	1447261723.16
-150.0478	1.681798e-08	1447261735.58
-150.0473	1.642637e-08	1447261747.99
-150.048	1.417706e-08	1447261760.41
-150.0487	7.940852e-09	1447261772.83
-150.0484	1.49718e-08	1447261785.24
-150.048	1.249542e-08	1447261797.66
-150.0487	8.470677e-09	1447261810.07
-150.0484	-8.252574e-07	1447261822.48
-150.0478	-9.26168e-07	1447261834.5
-150.0482	-9.441325e-07	1447261846.91
-150.0492	-9.859741e-07	1447261859.32
-150.0491	-1.001373e-06	1447261871.74
-150.0491	-9.834445e-07	1447261884.15
-150.0483	-1.028885e-06	1447261896.56
-150.0487	-1.037806e-06	1447261908.98
-150.0483	-1.043028e-06	1447261921.39
-150.0487	-1.049621e-06	1447261933.8
-150.0482	-1.073884e-06	1447261946.22
-150.0488	-1.077437e-06	1447261958.63
-150.0486	-1.152122e-06	1447261971.04
-150.0485	-1.156012e-06	1447261983.45
-150.0485	-1.184961e-06	1447261995.86
-150.0482	-1.20144e-06	1447262008.27
-150.0488	-1.191343e-06	1447262020.68
-150.0488	-1.168327e-06	1447262033.1
-150.0482	-1.226676e-06	1447262045.51
-150.0481	-1.181001e-06	1447262057.92
-150.0483	-1.222931e-06	1447262070.33
-150.0483	-1.223907e-06	1447262082.74
-150.0476	-1.230043e-06	1447262095.15
-150.0486	-1.247278e-06	1447262107.56
-150.0484	-1.270431e-06	1447262119.98
-150.0485	-1.286037e-06	1447262132.39
-150.0487	-1.289555e-06	1447262144.8
-150.0482	-1.275214e-06	1447262157.21
-150.0481	-1.243175e-06	1447262169.62
-150.0485	-1.242309e-06	1447262182.04
-150.0479	-1.234865e-06	1447262194.44
-150.0481	-1.199039e-06	1447262206.85
-150.0479	-1.204384e-06	1447262219.26
-150.0488	-1.221252e-06	1447262231.67
-150.0484	-1.237336e-06	1447262244.08
-150.0484	-1.278127e-06	1447262256.49
-150.0485	-1.293045e-06	1447262268.9
-150.0486	-1.295481e-06	1447262281.31
-150.0487	-1.269877e-06	1447262293.72
-150.0481	-1.288338e-06	1447262306.13
